date,valuation,momentum,sentiment,credit_liq,macro_gap,heat_score,regime
1990-01-31,,,,,,,
1990-02-28,,,,,,,
1990-03-31,,,,,,,
1990-04-30,,,,,,,
1990-05-31,,,,,,,
1990-06-30,,,,,,,
1990-07-31,,,,,,,
1990-08-31,,,,,,,
1990-09-30,,,,,,,
1990-10-31,,,,,,,
1990-11-30,,,,,,,
1990-12-31,,,,,,,
1991-01-31,,,,,,,
1991-02-28,,,,,,,
1991-03-31,,,,,,,
1991-04-30,,,,,,,
1991-05-31,,,,,,,
1991-06-30,,,,,,,
1991-07-31,,,,,,,
1991-08-31,,,,,,,
1991-09-30,,,,,,,
1991-10-31,,,,,,,
1991-11-30,,,,,,,
1991-12-31,,,,,,,
1992-01-31,,,,,,,
1992-02-29,,,,,,,
1992-03-31,,,,,,,
1992-04-30,,,,,,,
1992-05-31,,,,,,,
1992-06-30,,,,,,,
1992-07-31,,,,,,,
1992-08-31,,,,,,,
1992-09-30,,,,,,,
1992-10-31,,,,,,,
1992-11-30,,,,,,,
1992-12-31,100.0,,100.0,91.7,,,
1993-01-31,97.3,,100.0,100.0,,,
1993-02-28,100.0,,92.1,97.4,,,
1993-03-31,100.0,,97.4,100.0,,,
1993-04-30,95.0,,98.8,100.0,,,
1993-05-31,95.1,,80.5,97.6,,,
1993-06-30,97.6,,100.0,100.0,,,
1993-07-31,95.3,,97.7,100.0,,,
1993-08-31,97.7,,95.5,97.7,,,
1993-09-30,100.0,,84.4,95.6,,,
1993-10-31,100.0,,97.8,84.8,,,
1993-11-30,97.9,,68.1,78.7,,,
1993-12-31,100.0,,95.8,91.7,,,
1994-01-31,100.0,,100.0,91.8,,,
1994-02-28,98.0,,58.0,72.0,,,
1994-03-31,86.3,,21.6,60.8,,,
1994-04-30,69.2,,65.4,55.8,,,
1994-05-31,69.8,,77.4,55.7,,,
1994-06-30,70.4,,55.6,53.7,,,
1994-07-31,67.3,,98.2,61.8,,,
1994-08-31,78.6,,87.5,66.1,,,
1994-09-30,82.5,,58.8,50.9,,,
1994-10-31,70.7,,55.2,39.7,,,
1994-11-30,66.1,,40.7,33.9,,,
1994-12-31,60.0,,71.7,31.7,,,
1995-01-31,67.2,,88.5,36.1,,,
1995-02-28,85.5,,90.3,43.5,,,
1995-03-31,95.2,,66.7,46.0,,,
1995-04-30,100.0,,89.8,51.6,,,
1995-05-31,100.0,,76.9,56.9,,,
1995-06-30,100.0,,95.5,50.8,,,
1995-07-31,100.0,,61.2,52.2,,,
1995-08-31,98.5,,92.6,58.1,,,
1995-09-30,100.0,,75.4,56.5,,,
1995-10-31,98.6,,54.3,60.0,,,
1995-11-30,100.0,,91.5,66.2,,,
1995-12-31,100.0,,77.8,65.3,,,
1996-01-31,98.6,,76.0,71.2,,,
1996-02-29,100.0,,27.0,74.3,,,
1996-03-31,98.7,,22.7,58.7,,,
1996-04-30,97.4,,38.2,50.0,,,
1996-05-31,98.7,,33.8,57.8,,,
1996-06-30,98.7,,57.7,52.6,,,
1996-07-31,92.4,,20.3,53.2,,,
1996-08-31,93.8,,28.7,66.2,,,
1996-09-30,96.3,,29.6,63.0,,,
1996-10-31,100.0,,24.4,69.5,,,
1996-11-30,100.0,,27.7,71.1,,,
1996-12-31,100.0,,11.9,50.0,,,
1997-01-31,100.0,,20.0,50.6,,,
1997-02-28,100.0,,11.6,64.0,,,
1997-03-31,98.9,,8.0,44.8,,,
1997-04-30,94.9,,18.2,33.5,,,
1997-05-31,100.0,,25.8,32.0,,,
1997-06-30,100.0,,10.0,35.6,,,
1997-07-31,100.0,,11.0,37.9,,,
1997-08-31,98.9,,6.5,35.9,,,
1997-09-30,98.9,,7.5,29.0,,,
1997-10-31,100.0,,1.1,24.5,,,
1997-11-30,95.8,,5.3,22.1,,,
1997-12-31,100.0,,9.4,26.0,,,
1998-01-31,97.9,,16.5,29.9,,,
1998-02-28,100.0,,33.7,36.7,,,
1998-03-31,100.0,,9.1,33.3,,,
1998-04-30,100.0,,19.0,31.0,,,
1998-05-31,99.0,,17.8,27.7,,,
1998-06-30,98.0,,28.4,26.5,,,
1998-07-31,100.0,,7.8,23.3,,,
1998-08-31,95.2,,1.0,18.3,,,
1998-09-30,93.3,,1.9,12.4,,,
1998-10-31,93.4,,6.6,11.3,,,
1998-11-30,99.1,,9.3,15.0,,,
1998-12-31,100.0,,13.0,17.6,,,
1999-01-31,100.0,,9.2,21.1,,,
1999-02-28,99.1,,7.3,22.7,,,
1999-03-31,100.0,,17.1,23.4,,,
1999-04-30,100.0,,12.5,25.9,,,
1999-05-31,99.1,,11.5,23.0,,,
1999-06-30,98.2,,29.8,21.9,,,
1999-07-31,100.0,,15.7,17.4,,,
1999-08-31,96.6,,16.4,15.1,,,
1999-09-30,94.9,,11.1,13.7,,,
1999-10-31,93.2,,22.0,14.4,,,
1999-11-30,99.2,,19.3,18.5,,,
1999-12-31,100.0,,16.2,19.2,,,
2000-01-31,98.3,,14.0,20.7,,,
2000-02-29,94.7,,22.1,19.7,,,
2000-03-31,97.6,,21.1,13.0,,,
2000-04-30,97.6,,9.7,11.3,,,
2000-05-31,92.0,,23.2,9.6,,,
2000-06-30,95.2,,42.9,10.3,,,
2000-07-31,94.5,,37.8,17.7,,,
2000-08-31,95.3,,56.2,24.2,,,
2000-09-30,88.4,,38.0,24.0,,,
2000-10-31,83.8,,23.1,20.8,,,
2000-11-30,82.4,,4.6,16.0,,,
2000-12-31,79.9,,8.3,9.0,,,
2001-01-31,78.9,,29.3,15.6,,,
2001-02-28,76.1,,6.0,17.4,,,
2001-03-31,67.4,,5.9,16.5,,,
2001-04-30,66.9,,13.2,19.8,,,
2001-05-31,74.5,,28.5,24.2,,,
2001-06-30,72.5,,50.7,23.5,,,
2001-07-31,65.5,,32.4,24.0,,,
2001-08-31,65.0,,17.1,21.9,,,
2001-09-30,60.3,,2.8,19.2,,,
2001-10-31,62.0,,2.8,20.9,,,
2001-11-30,64.3,,25.9,24.9,,,
2001-12-31,64.6,,26.4,28.8,,,
2002-01-31,64.1,,41.0,33.3,,,
2002-02-28,61.6,,34.9,34.6,,,
2002-03-31,64.6,,56.8,37.8,,,
2002-04-30,60.8,,33.8,40.7,,,
2002-05-31,58.4,,47.0,41.7,,,
2002-06-30,54.7,,14.7,37.6,,,
2002-07-31,45.7,,3.3,33.5,,,
2002-08-31,46.1,,3.3,30.8,,,
2002-09-30,43.1,,2.0,31.8,,,
2002-10-31,42.2,,5.8,36.5,,,
2002-11-30,45.2,,11.6,38.4,,,
2002-12-31,44.2,,9.6,38.1,,,
2003-01-31,43.9,,5.7,43.4,,,
2003-02-28,39.2,,8.9,44.8,,,
2003-03-31,40.3,,9.4,46.1,,,
2003-04-30,43.8,,42.5,52.5,,,
2003-05-31,48.8,,54.3,59.9,,,
2003-06-30,51.9,,53.4,62.3,,,
2003-07-31,52.8,,54.0,66.6,,,
2003-08-31,50.6,,58.5,61.4,,,
2003-09-30,53.9,,32.7,67.1,,,
2003-10-31,56.3,,68.1,73.3,,,
2003-11-30,57.5,,66.5,75.2,,,
2003-12-31,60.1,,58.9,76.7,,,
2004-01-31,61.5,,66.3,81.9,,,
2004-02-29,61.2,,75.9,84.7,,,
2004-03-31,59.6,,64.9,80.6,,,
2004-04-30,59.9,,61.0,81.6,,,
2004-05-31,55.5,,72.5,64.7,,,
2004-06-30,58.0,,77.0,57.6,,,
2004-07-31,54.3,,73.1,54.0,,,
